C:14-H:9-O:2-X:1	H:N	2293:4462	1937:1835
Cl:5-K:2-O:1-Ru:1-X:1	N:H	4128:3962	1756:1846
C:3-H:5-S:3-X:3	Ag:H	8523:8383	1996:1844
C:6-H:6-N:1-O:6-X:3	H:N	8367:7281	1824:1878
Na:1-O:4-Sr:1-X:1	As:P	11003:4806	1728:1817
C:9-H:13-O:5-S:1-X:1	H:N	2933:6771	1721:1994
C:14-H:18-X:4	O:C	7021:10609	1893:1996
C:1-H:3-Cl:1-O:2-X:1	C:S	4243:7700	1998:1715
Br:3-X:1	Mo:Bi:Sb:Tl:B:Al:As:Cr:N:P:W:Fe:Au	7740:3428:1528:9303:4236:7028:1525:1744:2600:1242:5180:10759:1741	1841:1891:1723:1817:1745:1831:1968:1885:1958:1757:1948:1881:1799
C:2-Cl:1-Hg:1-N:2-X:1	K:Na	2516:2633	1790:1775
C:3-H:4-X:2	H:Cl:I:N:O:Br	5030:7381:9560:6828:3688:7706	1861:1958:1786:1802:1974:1884
H:14-N:4-O:2-X:1	Cu:Pd:Pt	7790:5669:2864	1931:1769:1733
C:3-H:4-X:3	O:S	2290:8186	1701:1790
U:1-X:2	O:S	3429:8643	1852:1999
C:3-H:4-X:4	H:Cl:O:Br	9551:9529:6972:8005	1772:1921:1769:1843
U:1-X:3	O:Cl	3426:3167	1779:1917
U:1-X:4	Cl:I:F	149:3516:9785	1906:1938:1782
Li:2-O:8-S:2-X:2	Na:H	10485:722	1838:1896
N:2-O:5-S:1-X:2	K:Na	87:2225	1883:1883
C:7-H:2-N:3-O:5-X:3	H:Br	6418:10194	1831:1735
Cu:1-P:2-X:2	Cu:S	1119:3626	1941:1869
C:2-H:3-Br:1-X:1	O:C	6173:9375	1864:1881
Cl:1-H:2-N:1-O:1-X:2	H:Hg	1760:1045	1749:1774
C:2-H:3-Br:1-X:2	Br:H:O	6690:4936:7067	1891:1744:1920
O:41-W:12-X:10	K:Na	7822:7776	1900:1756
C:7-H:5-Cl:2-O:1-X:1	Cl:H	4881:4868	1821:1768
C:4-H:9-O:1-X:1	H:Cl:N	1505:6961:4726	1762:1937:1966
C:15-H:13-N:2-X:3	H:N	2426:4657	1966:1815
C:9-H:16-O:3-X:2	C:H	11243:6208	1869:1959
C:9-H:16-O:3-X:3	O:C	3834:2824	1863:1906
C:4-Ba:1-N:4-X:1	Pd:Pt	9905:4323	1992:1877
C:7-H:9-N:1-O:2-X:4	C:H	5149:10064	1853:1793
H:1-O:2-X:1	H:N:Au:Bi:B:Cl:Ni:As	595:98:747:3932:7117:2168:197:1394	1901:1881:1969:1760:1849:1913:1825:1952
H:2-K:2-O:3-S:2-X:1	O:W	3559:1165	1749:1767
H:16-O:21-W:4-X:1	Mg:Ni:Zn:Sr	7870:8268:7888:7872	1816:1926:1789:1758
C:6-O:6-X:6	K:H	2078:2912	1956:1881
C:6-H:1-N:1-O:2-X:4	Cl:Br:H	11154:10134:2180	1711:1795:1794
C:12-H:16-O:1-X:1	O:S	3100:11248	1737:1795
C:4-H:7-Na:1-O:2-X:5	C:O	10180:166	1988:1853
C:4-H:5-O:4-X:1	H:Cl:Na:Br:K	2150:4215:2177:7987:2175	1724:1780:1707:1723:1818
F:4-H:2-K:2-O:3-X:1	Mo:W	1043:1037	1888:1956
C:3-H:8-O:6-X:2	S:C	6408:2414	1730:1788
C:12-H:16-O:1-X:6	H:O	11234:7089	1962:1920
H:8-O:10-Zn:1-X:2	P:N	4787:7124	1829:1877
C:6-H:7-N:2-O:1-X:1	H:N	11320:10683	1966:1705
C:6-H:5-Br:1-O:2-X:1	S:C	10793:2682	1710:1865
C:10-H:11-N:2-O:1-X:1	H:Cl	8074:9673	1727:1821
C:11-H:10-O:1-X:1	C:O	5771:10815	1989:1712
C:11-H:10-O:1-X:2	N:O:C	6739:5714:4735	1978:1826:1928
C:12-H:12-O:4-X:2	O:H	6989:1926	1723:1717
C:11-H:10-O:1-X:6	H:O	5298:6745	1847:1839
Br:3-O:9-X:1	Cr:Bi	3265:3293	1910:1952
C:12-H:9-N:2-O:2-X:1	H:N	8427:4930	1768:1825
C:4-H:13-N:1-O:3-X:1	C:Se	8461:5981	1706:1907
C:14-H:34-Br:2-X:2	P:As	7689:7664	1827:1716
Cu:1-O:2-X:2	Cl:H	2061:34	1812:1717
Sb:2-Zn:3-X:8	Se:S	6934:3039	1996:1844
H:8-O:8-S:2-Sr:1-X:2	H:O:N	449:1180:7501	1704:1959:1985
C:4-H:9-N:1-X:1	C:O	4219:4726	1885:1966
C:4-H:9-N:1-X:2	O:H	8169:5129	1811:1881
C:3-Cl:3-X:3	H:N	9377:1398	1937:1744
C:8-H:9-O:4-X:1	H:N	6381:2439	1852:1800
C:4-H:9-N:1-X:3	C:H	2848:5273	1861:1980
H:3-I:1-O:6-X:2	Na:H:Ag:Li	1976:2182:10349:11022	1833:1838:1993:1901
C:3-Cl:3-X:5	Cl:H	5075:6691	1887:1731
C:8-H:9-O:4-X:3	N:H	7636:3158	1872:1768
H:1-N:2-X:1	N:P	9369:6575	1785:1835
C:4-H:9-N:1-X:6	C:O	3425:1407	1801:1864
C:6-N:6-X:1	Fe:Co:Pt	215:2186:3176	1823:1704:1736
C:1-Cs:1-O:3-X:1	H:Cs	7735:8141	1706:1763
Be:1-O:2-X:2	H:Br	1140:1177	1874:1974
C:6-H:5-N:1-O:5-X:1	S:C	5133:5942	1743:1731
I:2-X:1	Be:Mg:Hg:Ni:Pb:Pd:Pt:Sn:Sr:Ti:Co:Zn:I:Cd:O:P:Ba:Fe:Ca	1451:507:486:2709:508:2298:1004:1274:1393:8659:2388:1536:2831:1538:900:10293:452:505:7086	1830:1823:1907:1793:1714:1932:1942:1783:1893:1715:1796:1824:1840:1715:1769:1961:1832:1761:1754
I:2-X:2	Hg:Se:As	442:1203:4812	1738:1991:1903
H:12-I:2-O:12-X:1	Sr:Ca	2638:478	1878:1768
H:24-Na:3-O:16-X:1	As:P	1112:4261	1791:1949
H:1-W:1-X:1	N:O	4951:921	1750:1920
C:21-H:19-N:1-X:2	S:H	3105:6431	1997:1817
Ag:2-O:3-S:1-X:1	S:O	708:769	1905:1780
C:2-H:5-Cl:2-P:1-X:1	O:S	9933:11033	1779:1913
Ni:1-X:1	O:S:Se:As	180:253:7121:4761	1984:1954:1927:1979
C:8-H:20-Cl:1-X:1	P:Sb	6787:7873	1878:1743
Ni:1-X:2	I:Br:Cl:O:F	2709:1753:356:1269:7369	1793:1937:1937:1824:1912
Cl:6-I:1-X:1	I:P	2774:8995	1916:1989
C:9-H:8-Cl:1-O:2-X:1	H:Br:Cl	6721:11218:11203	1973:1706:1828
C:12-H:4-Cl:4-O:4-X:2	H:Cl	4905:4908	1843:1869
O:4-Sn:1-X:1	S:W:Ca:Sr	227:10403:7155:7229	1885:1957:1830:1817
O:4-Sn:1-X:2	C:Co	5978:7901	1772:1779
C:6-H:1-Cl:3-O:1-X:2	H:Cl	2971:2983	1887:1837
S:1-X:1	Bi:Sn:Sr:Ti:Zn:Na:Ni:Ag:Fe:Pb:Pd:As:Ca:Cd:Pt:H:Hg:K:Co:Mg:Cr:S:Cu:Rh:Mn:Ba:Be	1142:553:473:6278:999:5155:253:2484:330:229:438:2321:463:640:363:1105:238:137:187:3399:3723:362:1232:443:919:279:1417	1768:1798:1985:1847:1955:1758:1954:1805:1750:1932:1707:1709:1992:1835:1957:1973:1736:1776:1706:1793:1993:1884:1825:1992:1748:1916:1701
S:1-X:2	K:Li:P:Ag:Hg:H:Ni:O:Cl:Na:Au:Fe:Tl:Cu	132:1096:3596:1099:1033:289:926:30:1073:220:3525:925:8598:866	1720:1931:1976:1724:1834:1812:1828:1876:1749:1887:1860:1712:1735:1905
C:19-H:20-X:7	C:O	4435:4664	1792:1951
S:1-X:3	P:O	3612:118	1746:1967
C:2-H:4-Na:1-O:4-S:1-X:1	Na:H	11321:6789	1878:1922
S:1-X:4	P:O:Cl:B	5601:984:6846:6857	1867:1868:1721:1868
C:7-H:6-Cl:1-O:1-X:1	N:H:Cl	6710:11333:4868	1966:1793:1768
C:16-H:14-X:2	O:H	11169:9610	1916:1878
C:7-H:8-N:1-O:1-X:1	Cl:N:H	5554:4228:4912	1932:1793:1965
C:9-H:11-N:1-O:1-X:2	O:H	5114:5343	1950:1915
C:16-H:14-X:4	O:H:C	6985:10102:10587	1750:1829:1832
C:9-H:11-N:1-O:1-X:4	C:H	3903:10764	1763:1955
C:16-H:12-N:2-X:4	O:C	3107:2271	1789:1988
Cd:1-Cl:6-H:24-O:12-X:2	Ca:Ni:Mg	6102:6360:6075	1730:1911:1728
H:2-K:1-O:3-S:1-X:1	N:As	3920:4000	1978:1956
C:4-H:9-N:1-O:1-X:3	O:C	2082:4912	1832:1965
C:4-H:9-N:1-O:1-X:4	H:C	5308:5754	1946:1747
C:4-H:9-N:1-O:1-X:5	O:C	1407:8155	1864:1884
C:17-H:16-N:1-O:2-X:1	H:N	4044:5302	1803:1973
C:13-H:10-N:3-O:2-X:1	Br:H	10700:10161	1881:1802
C:3-H:5-O:3-X:1	N:H:K:Na	2273:1963:2959:7329	1975:1897:1771:1800
H:8-N:2-Zn:1-X:4	I:Cl	2614:6590	1979:1824
C:3-N:3-O:3-X:3	Ag:H	4447:1400	1726:1759
H:6-O:1-Zn:1-X:2	C:N	9304:9037	1795:1786
C:3-H:5-O:3-X:3	H:N	2450:6980	1772:1907
C:16-H:12-O:2-X:2	H:N:O	11169:1381:6218	1916:1850:1839
Br:2-Si:1-X:2	Cl:Br	11347:1837	1711:1956
C:16-H:12-O:2-X:4	H:O	5956:3452	1736:1819
C:7-H:6-N:4-O:2-X:2	H:O	4946:8168	1999:1789
H:2-X:1	O:S:Se:Te	2965:289:699:310	1988:1812:1938:1983
H:2-X:2	Te:O:C:As	1570:595:5344:1714	1880:1901:1813:1847
H:2-X:4	P:As	2330:8733	1719:1702
C:6-H:3-Br:1-N:1-O:3-X:1	Br:H:I	5961:10072:10688	1886:1820:1733
C:9-H:6-O:2-X:2	H:N:O	2151:6290:5775	1940:1990:1864
C:9-H:6-O:2-X:4	H:O	1512:10616	1964:1924
C:14-H:14-S:1-X:1	O:S	9612:4464	1936:1770
C:12-H:8-N:2-O:1-X:2	H:Cl:O	4078:10233:4880	1740:1703:1787
C:13-H:11-O:4-X:5	N:H	4684:11258	1814:1927
H:4-N:2-O:8-X:1	Hg:Zn	4133:7173	1917:1886
C:10-H:10-O:2-S:1-X:2	C:O	2152:3863	1940:1822
C:6-H:5-Cl:2-X:1	N:P	4060:10220	1871:1924
H:1-O:3-S:1-X:1	Cl:K:Na:H	5578:2978:770:1387	1905:1805:1701:1820
C:12-H:6-X:12	H:O	10637:3099	1900:1887
C:12-H:8-O:2-S:2-X:2	H:Cl	10831:11172	1934:1982
H:22-I:7-N:4-O:3-X:1	Sb:Bi	7477:7471	1760:1926
C:7-H:6-Cl:1-N:1-X:1	O:C	6710:11352	1966:1818
Ir:1-O:1-X:1	K:O:H	4156:1408:1471	1900:1890:1941
Cl:1-O:12-P:3-X:5	Ca:Pb	5157:7881	1732:1880
As:1-S:4-X:3	Na:As	1019:4967	1858:1998
C:17-H:18-N:2-X:3	H:C	10170:10132	1896:1879
H:1-Na:2-O:4-X:1	P:As	608:1102	1726:1908
C:17-H:18-N:2-X:4	O:C	7011:2449	1724:1745
C:6-H:4-N:1-O:4-X:1	N:H	2977:5144	1986:1831
C:6-H:15-Pb:1-X:1	I:Cl	5743:8502	1851:1811
H:3-Na:1-X:1	N:C	9002:7332	1907:1804
F:2-X:1	Zn:Cu:Be:Cd:Ba:Fe:Hg:Mg:Mn:Ni:Ca:Pb:Sn:Sr:Ti	6848:7367:6852:7417:885:8597:1420:8578:8953:7369:543:914:886:904:8751	1849:1990:1733:1835:1731:1728:1841:1949:1890:1912:1738:1895:1955:1998:1873
C:2-H:4-N:2-O:4-X:2	N:C	16:2596	1952:1907
C:2-H:4-N:2-O:4-X:4	H:C	1739:2977	1878:1986
Br:1-H:13-N:4-O:1-Pt:1-X:2	Cl:Br	9965:9988	1726:1910
H:16-O:10-P:2-X:1	Co:Fe:Mg:Ni:Zn	1482:4175:1488:1504:4195	1905:1896:1820:1761:1897
C:3-Cl:1-O:2-X:5	Cl:H	4225:2020	1972:1957
C:6-H:12-N:2-X:1	O:S	5581:5353	1829:1926
C:6-H:12-N:2-X:2	N:O	1627:8028	1741:1795
C:3-H:5-N:3-X:3	C:O	8176:6980	1750:1907
I:1-O:3-X:1	O:Na:H:Hg:K:Li:Ag	2159:469:475:11005:428:2598:470	1994:1818:1839:1771:1967:1701:1885
C:9-H:9-N:2-O:3-X:1	H:N	7303:4678	1998:1862
Na:1-O:3-X:1	I:Cl:Br:P:V:As:N	469:1959:2205:2042:6279:8963:126	1818:1931:1804:1751:1745:1706:1778
C:6-H:12-N:2-X:6	C:O	4073:4217	1765:1771
As:1-O:4-Tl:1-X:2	H:Tl	9503:9408	1987:1721
C:6-H:4-Cl:1-I:1-N:2-X:2	Cl:Br	10734:10737	1828:1789
C:10-H:6-Cl:4-O:1-X:3	O:C	11174:2818	1949:1913
Fe:1-Hg:1-X:4	I:Br	1464:1658	1768:1852
C:6-H:12-O:2-X:1	O:C	2297:6403	1729:1944
Cu:1-W:1-X:4	O:S	8201:1158	1887:1857
C:6-H:12-O:2-X:2	Cl:O:C:H:N	2907:8574:7107:4256:8028	1859:1819:1756:1714:1795
C:6-H:12-O:2-X:3	O:C	5295:6720	1916:1734
C:6-H:12-O:2-X:4	O:C	2802:3091	1915:1897
P:1-X:1	Bi:Sn:Sr:Zn:Fe:H:N:Cr:Mo	1615:4760:586:1974:6304:3930:2609:1870:7119	1974:1833:1781:1818:1844:1815:1733:1746:1967
C:6-H:12-O:2-X:5	O:C	8374:2931	1776:1898
P:1-X:2	Pt:Co:W:Fe:I:N:Cu	4764:1971:5171:10279:10293:6586:3197	1782:1949:1879:1737:1961:1769:1868
P:1-X:3	K:H:S:Tl:Cl:Na:Fe:P:I:Cu:Br:F	281:244:9049:8982:359:8960:6285:233:1243:1966:1242:1259	1934:1805:1969:1983:1948:1844:1804:1808:1756:1778:1757:1935
C:3-H:3-Cl:2-X:1	N:Cl:H	7595:9377:7381	1827:1937:1958
P:1-X:5	Cl:I:Br	346:4477:1121	1843:1839:1731
C:3-H:3-Cl:2-X:3	Cl:H	9564:5061	1715:1884
O:6-W:2-X:1	Ba:O	8269:2320	1828:1955
C:7-H:4-Br:1-O:3-X:1	H:Br	3856:3858	1995:1914
C:8-H:7-N:3-O:2-X:2	H:O	11235:8426	1931:1768
C:8-H:7-N:3-O:2-X:4	O:H	7610:7623	1994:1907
Hg:1-O:8-X:2	I:Cl	2405:1765	1791:1981
C:10-H:8-O:4-X:4	H:C	1734:4644	1996:1952
C:2-H:13-N:4-O:5-Pt:1-X:1	Cl:Br	4408:9976	1916:1721
C:10-H:14-O:3-X:1	C:S	6719:10622	1920:1722
C:10-H:14-O:3-X:2	N:C	6991:5532	1859:1979
C:2-H:5-O:2-X:1	H:B:N	6796:10513:771	1982:1754:1914
O:1-S:1-Zn:1-X:1	Zn:H	931:4116	1963:1761
C:10-H:14-O:3-X:8	C:H	5703:2947	1788:1765
C:4-H:8-O:1-S:1-X:1	O:S	9711:5070	1834:1779
C:4-H:8-Cl:1-O:2-X:1	H:Cl	8530:9176	1766:1929
Cl:2-Fe:1-O:2-X:4	H:O	3715:3583	1996:1731
C:24-H:20-O:4-X:2	O:H	5930:7309	1788:1762
I:2-Pt:1-X:2	Cl:I	10945:876	1942:1895
C:6-H:1-Cl:2-N:1-O:2-X:2	Cl:H	11154:11343	1711:1842
K:3-O:12-S:3-X:1	Cr:Bi	3966:3802	1812:1725
C:7-H:9-N:1-S:1-X:4	C:H	11354:8816	1810:1726
C:8-H:6-O:1-X:2	H:O:N	6808:1946:2980	1724:1729:1757
C:10-H:10-O:6-X:6	C:H	9635:9186	1708:1725
C:3-N:3-X:1	Rh:Au:Fe:P:Ir:Cr	8105:3198:3173:568:7808:2102	1932:1934:1825:1849:1728:1857
C:4-H:11-N:1-O:1-X:1	O:C	8536:4632	1712:1832
C:9-H:9-X:3	Br:H	11151:2981	1798:1975
C:3-N:3-X:3	Br:Cl	1399:1398	1958:1744
I:2-Sn:1-X:2	I:S	8495:7517	1945:1960
C:4-H:11-N:1-O:1-X:2	C:H	4854:5308	1819:1946
H:1-Mg:1-O:1-X:1	Cl:C:P:S:Mo	1455:5170:1353:4136:10418	1880:1841:1882:1750:1781
O:1-Zr:1-X:1	O:H	503:939	1764:1962
C:4-H:11-N:1-O:1-X:9	C:O	3903:2778	1763:1845
C:15-H:12-N:2-O:1-X:4	H:O	8844:11233	1862:1717
O:1-X:1	Bi:Br:Ni:Ag:Fe:Ca:Cd:C:H:I:Hg:Cl:Co:N:Mg:O:V:Os:Pb:Pd:Cr:Pt:Rh:Se:Cu:Sn:Sr:Te:Mn:Zn:Ba:Be	382:1517:180:3904:1084:510:2444:115:184:425:123:2173:105:94:294:93:8596:8618:327:1395:2040:3162:619:625:155:295:219:2062:985:541:267:1384	1771:1719:1984:1777:1713:1817:1720:1803:1954:1907:1712:1917:1762:1865:1862:1801:1707:1879:1985:1888:1940:1751:1808:1878:1898:1981:1971:1708:1923:1938:1840:1946
O:1-X:2	K:Li:Ag:Hg:H:Tl:Cl:Na:Sb:Cd:Au:Fe:O:Pd:I:N:Cu:Br	304:1754:733:371:2965:6832:335:251:398:2404:3868:7804:3683:3242:900:104:19:8236	1970:1809:1823:1902:1988:1852:1805:1778:1939:1737:1789:1787:1900:1709:1769:1713:1819:1778
O:1-X:4	Ni:Fe:P:Cu	341:2731:2470:8647	1879:1855:1814:1910
C:6-Fe:1-N:6-Na:2-X:1	K:Na:Fe	10287:10272:7918	1725:1852:1988
C:3-H:4-Br:3-X:1	Cl:H:Br	7956:6646:8005	1911:1727:1843
Ag:2-S:1-X:4	S:O	8252:769	1843:1780
C:6-H:3-N:1-O:3-X:2	Br:I:H:Cl	5961:10615:6502:3102	1886:1719:1735:1862
H:6-O:7-P:2-X:1	Ba:Ca	4181:4145	1915:1869
C:6-H:3-N:1-O:3-X:6	H:N	10724:5128	1824:1809
H:6-Zn:1-X:2	C:N	5723:9038	1764:1716
Br:2-Se:1-X:1	O:Se	9877:10244	1714:1727
Mg:1-O:4-P:1-X:1	Na:K:H	4816:4737:2710	1891:1761:1828
Br:1-O:1-P:1-X:2	Br:Cl	4929:9770	1929:1820
Ca:1-O:8-S:2-X:2	H:Na	3467:6538	1974:1971
H:1-Ni:1-O:1-X:1	As:O	203:197	1737:1825
C:9-H:8-N:2-O:2-X:4	O:H	6419:4885	1709:1814
C:1-Ba:1-X:3	O:S	302:1248	1881:1758
C:8-H:6-N:1-X:1	H:Cl	6247:11352	1983:1818
Cl:2-O:3-X:4	Bi:Pb:Pt:Hg	8301:518:3196:2487	1981:1973:1993:1831
C:14-H:14-O:1-X:1	O:S	8424:9612	1862:1936
C:14-H:14-O:1-X:2	N:C	11228:3453	1816:1919
C:6-H:3-Cl:1-O:1-X:2	Cl:H	2971:7284	1887:1774
C:10-H:14-Br:1-O:1-X:1	Br:H	10123:8422	1869:1893
C:7-H:11-N:2-O:3-X:1	H:N	420:5080	1717:1767
C:6-H:3-Cl:1-O:1-X:4	O:H	5152:7273	1983:1858
C:12-H:20-O:3-X:1	C:O	9718:2561	1925:1880
C:8-H:8-Na:2-O:12-X:1	Ca:Mg	1068:1900	1807:1819
C:12-H:20-O:3-X:2	C:H	6752:5698	1713:1704
C:14-H:8-X:2	Cl:O:Br:H	2811:2284:11144:2267	1841:1800:1781:1726
Bi:2-S:1-X:2	S:Te	1869:1783	1888:1732
C:12-H:20-O:3-X:4	O:H	9226:10054	1792:1908
O:4-Si:1-X:1	Th:Zr	8790:2723	1885:1993
C:14-H:8-X:4	O:H	4644:9376	1952:1946
O:4-Si:1-X:2	Zn:Mg	5765:5762	1992:1758
C:9-H:11-Cl:1-N:2-O:1-X:1	S:C	6765:9673	1722:1821
H:1-S:1-X:1	H:Li:Na:K:O	289:1124:22:374:4581	1812:1710:1701:1778:1880
O:4-Si:1-X:4	Na:H	7370:10168	1957:1834
C:14-H:8-X:6	Br:H	8441:8532	1781:1784
C:1-H:12-O:9-X:1	Ca:Co	1786:5378	1738:1803
C:6-H:4-Cl:1-N:2-O:3-X:1	H:N	7291:10188	1793:1909
N:1-X:1	Nb:Ti:Fe:Al:B:C:Co:N:O:P:V:Cr	7120:1768:5361:8206:890:527:7757:91:94:2609:1771:2989	1714:1750:1814:1829:1783:1876:1937:1802:1865:1733:1844:1745
N:1-X:2	O:V:Fe	298:6871:5371	1810:1823:1704
C:14-H:10-O:4-X:1	C:Ca:Cu:Hg	6835:6800:2960:2574	1866:1834:1832:1854
N:1-X:3	O:Ag:V:H:Cl:I:Cu:Br	2945:3500:6882:144:434:457:3001:2600	1905:1948:1907:1843:1740:1780:1761:1958
C:6-H:9-N:2-X:1	N:H	5064:5509	1811:1928
C:2-H:1-Br:4-X:1	H:Br	8190:8393	1718:1760
K:2-N:2-O:8-Pt:1-X:2	C:N	7907:7802	1985:1850
C:4-H:12-K:2-O:14-X:1	Ni:Co:Mg	344:2283:3582	1890:1761:1757
C:8-H:5-N:2-O:6-X:3	N:H	725:6993	1803:1937
C:6-H:7-N:1-O:6-X:2	H:S	8367:6434	1824:1946
H:1-O:3-P:1-X:1	Co:Ba:Pb:Sr:Zn:Mg:Cd:Ni:Ca:Be	1361:564:1306:1312:10256:9818:10475:10501:10806:1292	1702:1875:1789:1777:1752:1962:1999:1787:1990:1980
H:1-O:3-P:1-X:2	K:H:Ag	1272:127:5369	1792:1734:1741
C:6-H:9-O:2-X:1	N:Br:H	10171:5912:3697	1727:1890:1942
Hg:2-X:1	O:S	371:1033	1902:1834
Mn:1-O:4-X:1	Ag:Mo:S:W:K:H	1857:8633:705:7773:889:3142	1718:1970:1955:1904:1700:1857
Mn:1-O:4-X:2	K:Mn:Na	5589:882:1860	1919:1968:1939
Hg:2-X:2	Br:I:F:Cl	1582:442:7404:148	1839:1738:1918:1771
Fe:1-H:1-O:1-X:1	Cl:Br:P:W	1448:1569:8642:7758	1735:1759:1774:1869
Na:4-O:6-P:2-X:1	S:O	9890:1642	1977:1898
C:2-H:4-Cl:2-O:6-X:2	Ca:Sr	2018:9478	1738:1756
C:6-H:6-X:1	O:S	1952:8152	1776:1762
C:6-H:6-X:2	C:O	11325:3139	1987:1905
C:6-H:6-X:4	H:N	4709:6836	1711:1898
H:2-Na:1-O:4-X:1	P:As:I	2048:782:2654	1918:1874:1899
C:6-H:3-O:5-S:1-X:3	H:Cl	7616:11267	1739:1899
C:6-H:6-X:6	Cl:O:Br	1072:2912:2269	1873:1881:1817
Nb:1-X:5	Cl:F	4231:9360	1789:1864
C:2-X:1	Ca:Fe:Mg	2957:4444:10715	1858:1911:1893
C:2-X:2	Cl:H:K:N:Li:Na	5681:5344:9790:531:6475:9783	1974:1813:1859:1845:1841:1898
Cu:1-S:1-X:1	Ag:Cu	9768:866	1945:1905
H:1-K:2-N:4-O:1-X:1	Pd:Co	8331:6137	1793:1749
C:2-X:4	Cl:H:O:Br	776:1224:2681:1625	1958:1906:1844:1946
C:7-H:3-N:3-O:5-X:4	H:O	4892:8072	1869:1772
C:2-X:6	Cl:H:Br	805:4852:8360	1881:1742:1809
C:6-H:9-Al:1-X:6	O:H	324:10165	1709:1759
C:6-H:15-O:2-P:1-S:1-X:1	S:O	7254:7969	1799:1945
C:14-H:14-N:1-X:1	N:H	9328:9336	1709:1865
C:8-H:17-O:2-X:1	N:Cl:H	8412:7566:9559	1754:1724:1760
H:12-I:2-N:4-X:1	Ni:Pd:Pt:Zn	2740:5665:3791:2750	1932:1906:1824:1711
O:6-S:2-X:1	Mn:Se:Sr:Zn:Ba:Fe:Cd:S:Cu:Ca:Ni	713:9417:1179:3481:1188:8280:3590:2068:1209:1114:3568	1835:1761:1741:1766:1934:1754:1835:1737:1913:1814:1718
C:9-H:13-N:1-O:2-X:1	S:C	10663:7015	1904:1756
O:6-S:2-X:2	H:Rb:S:Hg:Ag:K	732:8324:3130:3539:3537:622	1915:1863:1793:1835:1763:1783
C:9-H:13-N:1-O:2-X:2	N:C	10671:2445	1931:1760
N:2-O:4-X:1	Cd:O:Cu:Ca:Pb:Pd:Pt:Sr:Ni:Zn:Co:Ba:Mg:Ag:Hg	8626:1389:376:3910:381:4266:8229:4778:4492:7101:4503:548:4471:4574:8215	1803:1767:1822:1963:1843:1860:1772:1990:1970:1724:1932:1894:1989:1706:1805
H:4-O:4-X:1	Mo:Ir:Cr:Os:Pt:Rh:Si:Sn:Ti:U:Zr	1110:481:9383:1450:1893:7512:10168:3524:1012:3527:7649	1852:1961:1995:1904:1765:1741:1834:1764:1752:1711:1820
C:13-H:8-O:6-X:2	C:H	9258:5088	1787:1962
C:8-H:6-Br:2-O:2-X:2	O:H	10131:6990	1744:1971
C:12-H:6-Cl:2-O:4-X:2	H:Cl	3883:4905	1749:1843
C:14-H:11-N:2-O:4-X:1	N:H	7633:4888	1845:1919
K:1-S:5-X:1	Mo:K	1029:816	1878:1718
C:2-H:2-N:2-O:2-X:2	Pb:H	4525:1510	1837:1747
C:6-H:2-N:1-O:2-X:3	Cl:Br:H	10094:10148:2180	1890:1853:1794
C:8-H:7-Br:1-N:1-O:1-X:1	H:Br	7615:7622	1723:1799
C:5-H:5-O:4-X:1	H:Br	855:7988	1956:1728
C:1-H:5-N:1-X:2	N:O:C	4241:1933:2191	1834:1956:1977
C:1-H:5-N:1-X:3	O:C	151:6833	1723:1707
C:6-H:2-O:2-X:2	Cl:H	4857:2703	1799:1944
C:4-H:8-O:6-X:2	C:Pb	8408:4011	1971:1934
C:5-H:5-O:4-X:3	H:N	64:9575	1805:1844
C:6-H:2-O:2-X:4	O:Br:Cl:H	2557:5939:4860:3139	1768:1984:1780:1905
C:6-H:8-N:2-O:1-X:1	O:C	10176:4228	1993:1793
C:6-H:8-N:2-O:1-X:2	C:O	9745:4238	1907:1865
H:24-Na:1-O:20-S:2-X:1	Al:Cr	313:3021	1804:1922
C:6-H:8-N:2-O:1-X:4	C:H	9640:5581	1804:1829
F:5-H:8-N:2-X:1	Sb:Fe	5421:10943	1868:1987
C:7-H:5-Cl:1-N:1-O:2-X:1	H:Na	10196:11336	1722:1885
C:11-H:13-O:3-X:1	H:N	6719:5954	1920:1775
C:4-H:10-O:4-X:1	C:S	5889:4467	1810:1780
C:4-H:8-Ba:1-Hg:2-N:4-O:4-X:2	Cl:I	4169:4559	1830:1786
C:13-H:8-Cl:2-X:1	C:O	2811:2812	1841:1973
C:13-H:8-Cl:2-X:2	Cl:Br	2817:2841	1735:1896
As:1-O:4-X:3	Cu:K:Rb:Na:Tl:Ag:Cs:Li:H	3469:790:4512:1094:9408:4106:4513:1111:100	1944:1923:1701:1813:1721:1766:1771:1743:1918
C:2-Hg:1-N:2-O:1-X:1	O:Hg	36:2726	1802:1855
Na:1-X:1	I:Br:F:S:Cl	1392:1637:459:5155:48	1976:1850:1799:1758:1852
C:7-H:10-N:2-O:2-X:1	O:C	10204:11209	1734:1902
C:8-H:10-O:2-X:1	S:C	9636:1512	1762:1964
H:18-N:6-Ni:1-X:2	Br:Cl:I	3209:1656:2737	1788:1971:1731
C:5-Cu:1-Fe:1-N:6-X:1	C:O	5842:5012	1847:1847
C:8-H:10-O:2-X:2	C:O:H:N	3375:6381:7107:11209	1993:1852:1756:1902
H:6-N:2-O:9-X:1	Be:Cu:Zn	56:2719:2721	1883:1857:1739
B:2-X:1	Al:Mg	6572:9388	1921:1781
C:8-H:10-O:2-X:4	C:H:N	10593:9210:3647	1996:1778:1879
